iter	Passed	Remaining
0	146	733293
1	159	398325
2	166	277803
3	173	217068
4	181	180837
5	188	156627
6	195	139480
7	202	126388
8	209	116070
9	216	108174
10	224	101640
11	231	96084
12	238	91344
13	244	87235
14	251	83715
15	258	80566
16	265	77767
17	272	75352
18	279	73200
19	285	71187
20	293	69521
21	300	67928
22	307	66440
23	313	65039
24	320	63831
25	327	62735
26	334	61628
27	341	60605
28	348	59702
29	355	58821
30	361	57992
31	368	57229
32	375	56518
33	382	55856
34	389	55191
35	395	54567
36	402	54013
37	409	53486
38	416	52935
39	422	52427
40	429	51997
41	436	51561
42	443	51118
43	450	50706
44	457	50349
45	464	50051
46	471	49700
47	478	49390
48	485	49059
49	492	48726
50	498	48417
51	505	48139
52	512	47875
53	519	47606
54	526	47357
55	533	47121
56	540	46863
57	547	46612
58	554	46415
59	561	46252
60	568	46061
61	575	45844
62	582	45664
63	589	45462
64	596	45256
65	603	45118
66	610	44945
67	617	44764
68	623	44583
69	630	44415
70	637	44261
71	644	44128
72	651	43980
73	659	43874
74	666	43752
75	673	43627
76	680	43489
77	687	43397
78	694	43262
79	701	43141
80	708	43048
81	716	42942
82	723	42835
83	730	42740
84	737	42666
85	745	42584
86	752	42504
87	759	42411
88	766	42306
89	773	42213
90	781	42140
91	788	42045
92	795	41976
93	802	41899
94	809	41805
95	817	41741
96	824	41672
97	831	41615
98	838	41531
99	846	41462
100	853	41399
101	861	41357
102	868	41303
103	876	41240
104	883	41196
105	890	41118
106	897	41028
107	918	41624
108	925	41540
109	932	41471
110	939	41382
111	946	41295
112	953	41233
113	960	41180
114	967	41116
115	974	41047
116	982	41000
117	989	40952
118	996	40886
119	1003	40829
120	1011	40773
121	1018	40719
122	1025	40675
123	1033	40624
124	1040	40569
125	1047	40524
126	1054	40477
127	1061	40416
128	1069	40369
129	1077	40361
130	1085	40341
131	1092	40297
132	1100	40269
133	1108	40263
134	1117	40255
135	1124	40224
136	1131	40180
137	1138	40126
138	1145	40071
139	1152	40024
140	1159	39965
141	1166	39902
142	1173	39846
143	1179	39791
144	1186	39733
145	1193	39673
146	1200	39623
147	1206	39569
148	1213	39518
149	1220	39457
150	1227	39402
151	1234	39365
152	1241	39314
153	1247	39259
154	1254	39213
155	1261	39169
156	1268	39120
157	1274	39064
158	1281	39019
159	1289	39000
160	1296	38967
161	1303	38919
162	1309	38871
163	1316	38826
164	1323	38781
165	1330	38735
166	1337	38720
167	1346	38722
168	1354	38714
169	1361	38687
170	1370	38699
171	1378	38682
172	1385	38659
173	1393	38649
174	1401	38643
175	1409	38635
176	1417	38622
177	1425	38613
178	1433	38616
179	1441	38605
180	1448	38576
181	1455	38542
182	1463	38510
183	1470	38484
184	1477	38448
185	1484	38416
186	1491	38394
187	1499	38372
