iter	Passed	Remaining
0	8	41407
1	16	40553
2	24	40941
3	32	40392
4	40	40479
5	47	39675
6	56	40011
7	63	39423
8	71	39534
9	78	38946
10	85	38732
11	92	38375
12	99	38141
13	106	37950
14	113	37717
15	120	37625
16	127	37368
17	134	37235
18	141	37124
19	148	37037
20	155	36966
21	162	36786
22	169	36724
23	176	36539
24	183	36459
25	190	36427
26	197	36376
27	204	36270
28	210	36142
29	218	36195
30	225	36114
31	232	36101
32	239	36056
33	247	36131
34	254	36111
35	262	36184
36	270	36267
37	283	37028
38	290	36977
39	299	37116
40	306	37131
41	315	37213
42	322	37148
43	330	37240
44	338	37270
45	346	37353
46	354	37337
47	361	37335
48	369	37299
49	376	37278
50	384	37273
51	391	37268
52	399	37289
53	406	37235
54	414	37291
55	421	37250
56	429	37246
57	436	37202
58	443	37158
59	450	37107
60	457	37052
61	465	37094
62	472	37027
63	479	37009
64	486	36928
65	493	36901
66	500	36855
67	507	36799
68	514	36779
69	521	36728
70	529	36751
71	535	36678
72	542	36636
73	549	36578
74	557	36577
75	564	36566
76	571	36540
77	579	36585
78	587	36575
79	594	36585
80	602	36573
81	610	36586
82	616	36545
83	623	36511
84	630	36472
85	637	36434
86	645	36439
87	652	36404
88	660	36427
89	666	36378
90	673	36352
91	681	36341
92	688	36303
93	695	36273
94	701	36217
95	709	36227
96	715	36182
97	723	36175
98	730	36146
99	737	36160
100	745	36166
101	753	36190
102	761	36203
103	768	36198
104	775	36173
105	782	36138
106	790	36126
107	796	36096
108	803	36074
109	810	36040
110	817	36004
111	824	36001
112	831	35963
113	838	35947
114	845	35928
115	853	35914
116	860	35902
117	867	35881
118	874	35881
119	881	35858
120	889	35855
121	895	35815
122	902	35800
123	909	35776
124	916	35743
125	923	35739
126	930	35704
127	938	35719
128	951	35932
129	958	35922
130	965	35890
131	972	35874
132	979	35846
133	987	35852
134	994	35828
135	1001	35822
136	1008	35798
137	1015	35786
138	1022	35760
139	1029	35728
140	1036	35714
141	1042	35681
142	1049	35662
143	1057	35650
144	1064	35628
145	1071	35617
146	1077	35585
147	1085	35574
148	1091	35549
149	1098	35533
150	1106	35518
151	1113	35500
152	1120	35495
153	1127	35467
154	1135	35498
155	1142	35482
156	1150	35495
157	1157	35482
158	1165	35471
159	1172	35460
160	1179	35451
161	1186	35439
162	1193	35412
163	1201	35422
164	1208	35400
165	1215	35400
166	1222	35382
167	1229	35376
168	1237	35373
169	1244	35349
170	1251	35351
171	1258	35318
172	1265	35313
173	1272	35289
174	1279	35273
175	1286	35259
176	1293	35251
177	1300	35239
178	1307	35224
179	1315	35225
180	1322	35215
181	1330	35210
182	1337	35210
183	1345	35219
184	1352	35209
185	1359	35193
186	1366	35175
187	1373	35150
188	1380	35144
189	1387	35123
190	1394	35119
191	1402	35123
192	1410	35128
193	1417	35125
194	1426	35143
195	1434	35151
196	1442	35158
197	1449	35153
198	1456	35150
199	1465	35180
200	1473	35173
201	1482	35209
202	1490	35226
203	1498	35228
204	1506	35237
205	1514	35238
206	1537	35599
207	1545	35609
208	1552	35598
209	1561	35609
210	1569	35625
211	1578	35643
212	1586	35658
213	1594	35667
214	1602	35657
215	1610	35663
216	1617	35653
217	1625	35657
218	1633	35653
219	1640	35652
220	1648	35644
221	1655	35633
222	1662	35619
223	1670	35610
224	1677	35609
225	1685	35599
226	1693	35604
227	1700	35590
228	1724	35922
229	1731	35907
230	1739	35911
231	1747	35904
232	1755	35914
233	1763	35915
234	1771	35918
235	1779	35913
236	1786	35912
237	1794	35900
238	1801	35893
239	1809	35886
240	1816	35878
241	1824	35875
242	1832	35871
243	1841	35901
244	1850	35906
245	1858	35924
246	1867	35939
247	1875	35944
248	1884	35963
249	1892	35964
250	1901	35978
251	1909	35980
252	1918	35999
253	1926	36004
254	1935	36012
255	1943	36017
256	1952	36030
257	1960	36039
258	1969	36046
259	1977	36057
260	1987	36095
261	1995	36088
262	2003	36088
263	2010	36074
264	2019	36076
265	2026	36063
266	2034	36056
267	2041	36050
268	2049	36045
269	2056	36034
270	2064	36025
271	2071	36011
272	2079	36003
273	2087	35999
274	2094	35985
275	2102	35984
276	2109	35971
277	2118	35981
278	2125	35970
279	2133	35969
280	2140	35954
281	2148	35945
282	2156	35936
283	2164	35945
284	2172	35946
285	2182	35965
286	2190	35973
287	2199	35978
288	2207	35988
289	2216	36001
290	2224	35995
291	2233	36011
292	2240	35994
293	2248	35988
294	2256	35981
295	2265	36005
296	2273	35995
297	2282	36008
298	2289	36004
299	2298	36010
300	2306	36006
301	2316	36039
302	2324	36037
303	2332	36038
304	2340	36032
